Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No.1,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.3,Bid Number.2,Bidder Name.2,Value,Rank,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender ID :,Tender Ref No :,Tender Title :
Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,PHE_24_JJM_PB_23_24_T_16028_34,2023_PHED_32790_2,Yes,Open Tender,Works,Works,1.0,No,No,Not Applicable,No,No,No,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,06-Oct-2023 10:00 AM,04-Nov-2023 03:00 PM,06-Oct-2023 10:00 AM,03-Nov-2023 04:00 PM,NA ,NA ,06-Oct-2023 11:00 AM,03-Nov-2023 04:00 PM,0.0,No,fixed,,Nil,Nil,1.0,Date Corrigendum_01,Date,,0.0,Nil,Nil,No,CHIEF ENGINEER (PHE) WATER ASSAM,"HENGRABARI, GUWAHATI-36",PKG 02 FIXATION OF RATES FOR ADDITIONAL ITEMS OF NEW PWSS UNDER GUWAHATI CIRCLE TO BE EXECUTED UNDER JJM ASSAM,PKG 02 FIXATION OF RATES FOR ADDITIONAL ITEMS OF NEW PIPED WATER SUPPLY SCHEMES TO BE EXECUTED UNDER JAL JEEVAN MISSION ASSAM FOR PHE DIVISIONS OF GUWAHATI CIRCLE,Please refer Tender documents.  ,NA ,0.0,Civil Works - Water Works,NA ,Tender,180.0,365.0,GUWAHATI,781036.0,NA ,NA ,NA ,O O THE CHIEF ENGINEER (PHE) WATER ASSAM,No ,No,Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,PHE_24_JJM_PB_23_24_T_16028_34,2023_PHED_32790_2,Yes,Open Tender,Works,Works,1.0,No,No,Not Applicable,No,No,No,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,06-Oct-2023 10:00 AM,04-Nov-2023 03:00 PM,06-Oct-2023 10:00 AM,03-Nov-2023 04:00 PM,NA ,NA ,06-Oct-2023 11:00 AM,03-Nov-2023 04:00 PM,0.0,No,fixed,,Nil,Nil,1.0,Date Corrigendum_01,Date,,0.0,Nil,Nil,No,CHIEF ENGINEER (PHE) WATER ASSAM,"HENGRABARI, GUWAHATI-36",PKG 02 FIXATION OF RATES FOR ADDITIONAL ITEMS OF NEW PWSS UNDER GUWAHATI CIRCLE TO BE EXECUTED UNDER JJM ASSAM,PKG 02 FIXATION OF RATES FOR ADDITIONAL ITEMS OF NEW PIPED WATER SUPPLY SCHEMES TO BE EXECUTED UNDER JAL JEEVAN MISSION ASSAM FOR PHE DIVISIONS OF GUWAHATI CIRCLE,Please refer Tender documents.  ,NA ,0.0,Civil Works - Water Works,NA ,Tender,180.0,365.0,GUWAHATI,781036.0,NA ,NA ,NA ,O O THE CHIEF ENGINEER (PHE) WATER ASSAM,No ,No,17-Jul-2024,INR 1,365.0,Debarshi Mahanta,17-Jul-2024 04:01 PM,Ghy_pkg02.pdf (6968.00 KB),1.0,202975.0,Gunattam Bhuyan,INR,1.0,1.0,206380.0,ABDUL AOWAL,26-Oct-2023 01:22 AM,Accepted-AOC,Awarded,17-Jul-2024 04:02 PM,Finance,Opening Summery,Debarshi Mahanta,10-Jul-2024 01:53 PM,finance_52716.pdf,BOQ Comparative Chart,Chief Engineer,Internal,,Debarshi Mahanta,15-Jul-2024 12:58 PM,finsummary_52716.pdf (4853.02 KB),1.0,202975.0,Gunattam Bhuyan,1.0,L1,Chief Engineer,Internal,,Debarshi Mahanta,15-Jul-2024 11:36 AM,techsummary_52716.pdf (4853.02 KB),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,203068.0,BRAHMAPUTRA COMMERCE AND TRADE,INR,1.0,2.0,205799.0,ABDUL AOWAL,22-Oct-2023 10:28 AM,Accepted-AOC,Awarded,17-Jul-2024 04:02 PM,,,,,,,,,,,,,2.0,203068.0,BRAHMAPUTRA COMMERCE AND TRADE,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,203093.0,PRSANTA DAS,INR,1.0,3.0,205648.0,ABDUL AWAL MONDOL,21-Oct-2023 11:57 AM,Accepted-AOC,Awarded,17-Jul-2024 04:02 PM,,,,,,,,,,,,,3.0,203093.0,PRSANTA DAS,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,203243.0,MS SIMANTA ENTERPRISE,INR,1.0,4.0,206521.0,ABDUL HAMID,26-Oct-2023 11:46 AM,Accepted-AOC,Awarded,17-Jul-2024 04:02 PM,,,,,,,,,,,,,4.0,203243.0,MS SIMANTA ENTERPRISE,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,203244.0,RABHA ENTERPRISE,INR,1.0,5.0,206854.0,Abdul Kaddus,26-Oct-2023 03:20 PM,Accepted-AOC,Awarded,17-Jul-2024 04:02 PM,,,,,,,,,,,,,5.0,203244.0,RABHA ENTERPRISE,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,203492.0,NURUL AMIN,INR,1.0,6.0,206902.0,ABDULLAH HEL KAFI,26-Oct-2023 03:42 PM,Accepted-AOC,Awarded,17-Jul-2024 04:02 PM,,,,,,,,,,,,,6.0,203492.0,NURUL AMIN,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,203617.0,MOFIDUL ISLAM,INR,1.0,7.0,205787.0,ABDUL MALEQUE BHUYAN,21-Oct-2023 07:32 PM,Accepted-AOC,Awarded,17-Jul-2024 04:02 PM,,,,,,,,,,,,,7.0,203617.0,MOFIDUL ISLAM,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,203624.0,JAHIDUL ISLAM,INR,1.0,8.0,206796.0,Abdul Malik Ahmed,26-Oct-2023 02:48 PM,Accepted-AOC,Awarded,17-Jul-2024 04:02 PM,,,,,,,,,,,,,8.0,203624.0,JAHIDUL ISLAM,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,203851.0,SANDIP SARMA,INR,1.0,9.0,206239.0,ABDUL MANNAN,25-Oct-2023 05:41 PM,Accepted-AOC,Awarded,17-Jul-2024 04:02 PM,,,,,,,,,,,,,9.0,203851.0,SANDIP SARMA,1.0,L1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,203917.0,USHMAN ALI,INR,1.0,10.0,204181.0,ABDUL MAZID PASHA,14-Oct-2023 12:38 PM,Accepted-AOC,Awarded,17-Jul-2024 04:02 PM,,,,,,,,,,,,,10.0,203917.0,USHMAN ALI,1.0,L1,,,,,,,,,
